Group (Descent)	T	C	T_Freq	C_Freq	Count	Larger Group
African Carribbeans	177	15	0.921875	0.078125	192	African
African Americans	106	16	0.868852459	0.131147541	122	African
Bengali from Bangaladesh	165	7	0.959302326	0.040697674	172	Asian
Chinease Dai	183	3	0.983870968	0.016129032	186	Asian
Caucasian US	179	19	0.904040404	0.095959596	198	White
Han Chinese	202	4	0.980582524	0.019417476	206	Asian
Han Chinese	205	5	0.976190476	0.023809524	210	Asian
Esan in Nigeria	181	17	0.914141414	0.085858586	198	African
Finnish in Finland	180	18	0.909090909	0.090909091	198	White
British in England	157	25	0.862637363	0.137362637	182	White
Gujarati Indian	192	14	0.932038835	0.067961165	206	Asian
Gambian	196	30	0.867256637	0.132743363	226	African
Iberian in Spain	189	25	0.88317757	0.11682243	214	White
Indian Telugu	195	9	0.955882353	0.044117647	204	Asian
Japanese	203	5	0.975961538	0.024038462	208	Asian
Kinh in Ho Chi Minh	193	5	0.974747475	0.025252525	198	Asian
Luhya in Kenya	185	13	0.934343434	0.065656566	198	African
Mende in Sierra Leone	155	15	0.911764706	0.088235294	170	African
Mexican	119	9	0.9296875	0.0703125	128	Mexican
Peruvian	162	8	0.952941176	0.047058824	170	Peruvian
Punjabi	179	13	0.932291667	0.067708333	192	Asian
Puerto Rican	171	37	0.822115385	0.177884615	208	Puerto Rican
Sri Lankan	191	13	0.93627451	0.06372549	204	Asian
Toscani	187	27	0.873831776	0.126168224	214	White
"Yoruba in Ibadan, Nigeria"	198	18	0.916666667	0.083333333	216	African
