Group	T_Freq	C_Freq	Larger Group
African Carribbeans	0.92	0.08	African
African Americans	0.87	0.13	African
Bengali from Bangaladesh	0.96	0.04	Asian
Chinease Dai	0.98	0.02	Asian
Caucasian US	0.90	0.10	White
Han Chinese	0.98	0.02	Asian
Han Chinese	0.98	0.02	Asian
Esan in Nigeria	0.91	0.09	African
Finnish in Finland	0.91	0.09	White
British in England	0.86	0.14	White
Gujarati Indian	0.93	0.07	Asian
Gambian	0.87	0.13	African
Iberian in Spain	0.88	0.12	White
Indian Telugu	0.96	0.04	Asian
Japanese	0.98	0.02	Asian
Kinh in Ho Chi Minh	0.97	0.03	Asian
Luhya in Kenya	0.93	0.07	African
Mende in Sierra Leone	0.91	0.09	African
Mexican	0.93	0.07	Mexican
Peruvian	0.95	0.05	Peruvian
Punjabi	0.93	0.07	Asian
Puerto Rican	0.82	0.18	Puerto Rican
Sri Lankan	0.94	0.06	Asian
Toscani	0.87	0.13	White
"Yoruba in Ibadan, Nigeria"	0.92	0.08	African
